Price,Name,CPU,RAM,Hard Disk,GPU,Screen,Warranty,Stock,Status
None,Acer Nitro 17 Phoenix 2023 AN17-51-50B9,Core i5-13500H,8GB,512GB,RTX 4050 6GB,"17.3"" FHD 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
37.490.000,Dell Gaming G16 7620,Core i9-12900H,32GB,1TB,RTX 3070Ti 8GB,"16"" QHD+ 165Hz IPS",12 tháng LaptopAZ,Còn hàng,New 100%
None,Acer Nitro 16 Phoenix 2023 AN16-41,Ryzen 5-7535HS,8GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
26.890.000,Asus ROG Zephyrus G15 GA503RM 2022,Ryzen 9-6900HS,16GB,512GB,RTX 3060 6GB,15.6'' QHD+ 165Hz,12 tháng tại LaptopAZ,Liên hệ,New Outlet
None,Acer Gaming Predator Helios 16 2023 PH16-71-550E,Core i5-13500HX,8GB,512GB,RTX 4050 6GB,"16"" FHD+ 165Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Acer Gaming Predator Helios 300 2022 PH315-55-74Y1,Core i7-12700H,16GB,1TB,RTX 3070 8GB,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Acer Gaming Predator Helios 16 PH16-71-94N1,Core i9-13900HX,32GB,2TB,RTX 4080 12GB,"16"" QHD 240Hz",12 tháng LaptopAZ,Liên hệ,New 100%
21.890.000,Lenovo Legion 5 2021 15ACH6,Ryzen 5-5600H,8GB,512GB,RTX 3050Ti,15.6'' FHD 120Hz,12 tháng LaptopAZ,Liên hệ,New 100%
26.590.000,Gigabyte G5 KE-52VN263SH,Core i5-12500H,8GB,512GB,RTX 3060,15.6 inch FHD 144Hz,24 tháng chính hãng,Còn hàng,New 100%
33.990.000,ASUS ROG STRIX G17 G713QE-PH96,Ryzen 9-5900HX,16GB,1TB,RTX 3050Ti,17.3'' FHD,12 tháng LaptopAZ,Còn hàng,New 100%
None,Lenovo Legion 7 2022,Core i9-12900HX,32GB,1TB,RTX 3080Ti,16'' WQXGA 165Hz,36 tháng chính hãng,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro 2022 16IAH7H,Core i7-12700H,16GB,1TB,RTX 3060,"16"" WQXGA 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
46.390.000,Asus ROG Flow Z13 GZ301ZC-LD110W,Core i7-12700H,16GB,512GB,RTX 3050,13.4'' WUXGA IPS 120Hz Touch,24 tháng Asus Việt Nam,Liên hệ,New 100%
37.890.000,LAPTOP ASUS ROG STRIX G17 2020,Core i7-10750H,16GB,512GB,RTX 2070,17.3 FHD 144Hz,12 tháng,Còn hàng,Mới 100%
