Price,Name,CPU,RAM,Hard Disk,GPU,Screen,Warranty,Stock,Status
None,Asus ROG Strix G15 2022 G513RM-HQ017W,Ryzen 9-6900HX,16GB,1TB,RTX 3070Ti,15.6'' WQHD 165Hz,24 tháng Asus Việt Nam,Liên hệ,New 100%
None,Asus TUF A15 FA506Q-SB54,Ryzen 5-5600H,16GB,512GB,RTX 3050Ti,15.6″ FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Asus ROG Strix G15 2022 G513RM-HQ055W,Ryzen 7-6800H,16GB,512GB,RTX 3060,15.6'' WQHD 165Hz,24 tháng Asus Việt Nam,Liên hệ,New 100%
None,Asus ROG Strix G15 G513IE-PH74,Ryzen 7-4800H,16GB,512GB,RTX 3050Ti,15.6'' FHD IPS 300Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Dell Gaming G5 15 5511,Core i5-11400H,8GB,256GB,RTX 3050,15.6'' FHD 120Hz,12 tháng Laptop AZ,Còn hàng,Mới 100%
None,Lenovo Ideapad Gaming 3 2022,Ryzen 7-6800H,16GB,512GB,RTX 3050Ti,"16"" WUXGA 165Hz",24 tháng chính hãng,Liên hệ,Mới 100%
None,Lenovo Legion 5 17ACH6H,Ryzen 5-5600H,16GB,1TB,RTX3060,"17.3"" FHD IPS 144Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022 15ARH7H,Ryzen 5-6600H,16GB,512GB,RTX 3060,"15.6"" 2K 165Hz IPS",12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 15ITH6,Core i5-11400H,8GB,512GB,RTX 3050,"15.6"" FHD 165Hz 100% sRGB",12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 15ACH6A,Ryzen 7-5800H,16GB,1TB,RX 6600M,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,HP Omen 15 en1570wm,Ryzen 7 - 5800H,16GB,1TB,RTX 3070,15.6 FHD IPS 144Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Laptop Legion 5 Gen 6,Ryzen 7-5800H,16GB,512GB,RTX3070,17.3 FHD IPS 144Hz,12 tháng LaptopAZ,Còn hàng,Mới 100%
None,Lenovo Legion 5 Gen 6,Ryzen 7-5800H,16GB,1TB,RTX 3070,15.6'' FHD IPS 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 15IAH7 82S90086VN,Core i5-12500H,16GB,512GB,RTX 3050Ti,"6"" FHD 120Hz",24 tháng Lenovo Việt Nam,Liên hệ,New 100%
15.990.000,Laptop Gaming HP Victus 2022 15-fa0031dx,Core i5-12450H,8GB,512GB,GTX 1650,"15.6"" FHD 144Hz",12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion 5 Pro 2022 R9000P,Ryzen 7-6800H,16GB,512GB,RTX 3060,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Acer Gaming Predator Helios 300 2022,Core i7-12700H,16GB,512GB,RTX 3060 6GB,15.6'' QHD 165Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Lenovo Legion Y7000P IAH7 2022,Ryzen 7-6800H,16GB,512GB,RTX 3060,"15.6"" FHD 165Hz",12 tháng,Liên hệ,Mới 100%
None,Lenovo Legion Y7000P 2022 IAH7,Core i5-12500H,8GB,256GB,RTX 3050,"15.6"" FHD 165Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2021,Ryzen 7-5800H,16GB,1TB,RTX 3050Ti,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Legion 5 17ACH6H,Ryzen 7-5800H,16GB,256GB,RTX3060,17.3 FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5i Gen 6,Core i5-11400H,16GB,512GB,RTX 3060,"15.6"" FHD 165Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion 5i Gen 6,Core i7-11800H,16GB,512GB,RTX 3070,"15.6"" FHD 165Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,MSI Raider GE76 12UHS 480VN,Core i9-12900HK,64GB,2TB,NVIDIA RTX 3080Ti,"17.3"" UHD 120Hz",24 tháng MSI Việt Nam,Liên hệ,New 100%
None,Laptop Gaming Acer Nitro 5 2021 AN515-57,Core i7 - 11800H,8GB,512GB,RTX3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Asus ROG Strix G15 G513IC-EB73,Ryzen 7-4800H,8GB,512GB,RTX 3050 4GB,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,New 100%
None,Dell Alienware X17 R2,Core i7-12700H,32GB,1TB,VGA RTX 3070Ti,17.3 inch FHD 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Asus TUF A15 2022,Ryzen 7-6800H,8GB,512GB,RTX 3050 4GB (95W),15.6” FHD 144Hz IPS,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022,Ryzen 7-6800H,8GB,512GB,RTX 3050,"15.6"" FHD 165Hz IPS",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022,Ryzen 5-6600H,8GB,512GB,RTX 3050,"15.6"" FHD 165Hz IPS",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Lenovo Legion 5 17ACH6,Ryzen 5-5600H,16GB,1TB,RTX3060 6GB 130W,17.3 FHD IPS 144Hz 100% sRGB,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,HP Victus 16 2022,Core i7-12700H,16GB,512GB,RTX 3060,16.1 FHD 144Hz,12 tháng,Liên hệ,Mới 100%
None,Lenovo Legion 5 15ITH6 82JK007SVN,i7-11800H,8GB,512GB,RTX 3050Ti 4GB,4 Cell 60Wh,12 tháng bảo hàng chính hãng,Liên hệ,Mới 100%
None,Dell Gaming G15 5520 2022,i5 12500H,8GB,512GB,RTX 3050 4GB,"15.6"" FHD 120Hz",12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Laptop Gaming Acer Nitro 5 2021 AN515-57-700J,Core i7 - 11800H,16GB,512GB,RTX3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,New Outlet
None,Asus TUF F15 2022,i7 12700H,RTX 3050 95W,8GB DDR5 4800MHz,512GB,15.6” 144Hz IPS,12 tháng bảo hành Laptop AZ,Liên hệ,Mới 100%
None,Asus TUF F15 2022,i5 12500H,RTX 3050 95W,8GB DDR5 4800MHz,512GB,15.6” 144Hz IPS,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022 15IAH7H,i7-12700H,8GB,512GB,RTX 3050 4GB (95W),"15.6"" FHD IPS 165Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2022 15IAH7H,Core i5-12500H,8GB,512GB,RTX 3050 4GB (95W),"15.6"" FHD IPS 165Hz",36 tháng Lenovo Việt Nam,Liên hệ,New 100%
15.890.000,Laptop Gaming Acer Nitro 5 2021 AN515-57-5700,Core i5 - 11400H,16GB,512GB,RTX3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Còn hàng,New Outlet
None,Laptop Gaming Acer Nitro 5 2021 AN515-57-5700,Core i5 - 11400H,8GB,512GB,RTX3050Ti,15.6'' FHD IPS 144Hz,12 tháng LaptopAZ,Liên hệ,New Outlet
None,None,None,None,None,None,None,24 tháng Asus Việt Nam,Liên hệ,None
None,Asus TUF Gaming F15 FX506LHB-HN188W,Core i5 - 10300H,8GB,512GB,GTX 1650,15.6″ FHD 144Hz,24 tháng Asus Việt Nam,Liên hệ,New 100%
None,Acer Nitro 5 Tiger 2022 AN515-58-52SP,Core i5 - 12500H,8GB,512GB,RTX 3050,"15.6"" FHD IPS 144Hz",12 tháng Acer Việt Nam,Liên hệ,New 100%
None,Asus ROG Strix G15 2022 G513RC-HN038W,Ryzen 7-6800H,8GB,512GB,RTX 3050,15.6'' FHD 144Hz,24 tháng Asus Việt Nam,Liên hệ,New 100%
None,Dell Gaming G15 5515,Ryzen 5-5600H,8GB,256GB,RTX 3050 4GB,15.6'' FHD 120Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,HP Omen 16,Core i7 - 11800H,16GB,512GB,RTX 3060,16.1 FHD IPS,12 tháng Laptop AZ,Liên hệ,New 100%
None,HP Omen 16 b0005dx,Core i7 - 11800H,16GB,1TB,RTX 3070 8GB,16.1 QHD IPS 165Hz,12 tháng Laptop AZ,Liên hệ,New 100%
None,Lenovo Ideapad Gaming 3,Ryzen 5-5600H,8GB,256GB,GTX 1650,"15.6"" FHD IPS 120Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 Pro R9000P,Ryzen 7 - 5800H,16GB,512GB,RTX 3070,16'' WQXGA 165Hz,12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3 15IHU6,Core i5-11300H,8GB,512GB,GTX 1650,"15.6"" FHD IPS",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,"Asus TUF Dash F15 FX516PM-HN002W Core i7-11370H, 8GB, 512GB, RTX 3060, 15.6″ FHD 144H",[Mới 100%] Asus TUF Dash F15 FX516PM-HN002W Core i7-11370H,8GB,512GB,RTX 3060,15.6″ FHD 144H,24 tháng Asus Việt Nam,Liên hệ,Mới 100%
None,Asus TUF Gaming A15 FA506QM-HN016T,Ryzen 7-5800H,16GB,512GB,RTX 3060 6G,15.6″ FHD IPS 144Hz,24 tháng chính hãng Asus,Liên hệ,Mới 100%
None,Lenovo Legion Slim 7,Ryzen 7-5800H,16GB,512GB,RTX 3060 Max-Q,15.6'' FHD IPS 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Legion 5 2021,Ryzen 7-5800H,8GB,512GB,RTX 3050Ti,15.6'' FHD 165Hz,12 tháng LaptopAZ,Liên hệ,Mới 100%
None,Lenovo Ideapad Gaming 3,Ryzen 5-5600H,8GB,512GB,RTX 3050Ti,"15.6"" FHD IPS 120Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
None,Asus TUF Gaming FX706HC,Core i5-11260H,8GB,512GB,RTX 3050,17.3″ FHD IPS 144Hz,khuyến mại,Liên hệ,Mới 100%
None,Dell Gaming G5 15 5511,Core i7-11800H,16GB,512GB,RTX 3060,15.6'' FHD 165Hz,12 tháng Laptop AZ,Liên hệ,New 100%
None,Lenovo Ideapad Gaming 3,Ryzen 5-5600H,8GB,512GB,RTX 3060,"15.6"" FHD IPS 120Hz",12 tháng Laptop AZ,Liên hệ,Mới 100%
